PATH                     CLASS                       METHODS  OK XSRF SCOPE   LOGIN AUTH_METHODS        MIN  USER_POLICY
/_dr/epp                 EppTlsAction                POST     n  n    app     n     INTERNAL,API        APP  ADMIN
/_dr/whois               WhoisServer                 POST     n  n    app     n     INTERNAL,API        APP  ADMIN
/check                   CheckApiAction              GET      n  n    app     n     INTERNAL            NONE PUBLIC
/rdap/autnum/(*)         RdapAutnumAction            GET,HEAD n  n    app     n     INTERNAL            NONE PUBLIC
/rdap/domain/(*)         RdapDomainAction            GET,HEAD n  n    app     n     INTERNAL            NONE PUBLIC
/rdap/domains            RdapDomainSearchAction      GET,HEAD n  n    app     n     INTERNAL            NONE PUBLIC
/rdap/entities           RdapEntitySearchAction      GET,HEAD n  n    app     n     INTERNAL            NONE PUBLIC
/rdap/entity/(*)         RdapEntityAction            GET,HEAD n  n    app     n     INTERNAL            NONE PUBLIC
/rdap/help(*)            RdapHelpAction              GET,HEAD n  n    app     n     INTERNAL            NONE PUBLIC
/rdap/ip/(*)             RdapIpAction                GET,HEAD n  n    app     n     INTERNAL            NONE PUBLIC
/rdap/nameserver/(*)     RdapNameserverAction        GET,HEAD n  n    app     n     INTERNAL            NONE PUBLIC
/rdap/nameservers        RdapNameserverSearchAction  GET,HEAD n  n    app     n     INTERNAL            NONE PUBLIC
/registrar               ConsoleUiAction             GET      n  n    app     y     INTERNAL,API,LEGACY NONE PUBLIC
/registrar-payment       RegistrarPaymentAction      POST     n  y    console y     INTERNAL,API,LEGACY USER PUBLIC
/registrar-payment-setup RegistrarPaymentSetupAction POST     n  y    console y     INTERNAL,API,LEGACY USER PUBLIC
/registrar-settings      RegistrarSettingsAction     POST     n  y    console y     INTERNAL,API,LEGACY USER PUBLIC
/registrar-xhr           EppConsoleAction            POST     n  y    console n     INTERNAL,API,LEGACY USER PUBLIC
/whois/(*)               WhoisHttpServer             GET      n  n    app     n     INTERNAL            NONE PUBLIC
